0, 1, 2, 3
1, 1, 2, 3
2, 1, 2, 3
3, 1, 2, 3
4, 1, 2, 3
5, 1, 2, 3
6, 1, 2, 3
7, 1, 2, 3
8, 1, 2, 3
9, 1, 2, 3
10, 1, 2, 3
11, 1, 2, 3
12, 1, 2, 3
13, 1, 2, 3
14, 1, 2, 3
15, 1, 2, 3
16, 1, 2, 3
17, 1, 2, 3
18, 1, 2, 3
19, 1, 2, 3
20, 1, 2, 3
21, 1, 2, 3
22, 1, 2, 3
23, 1, 2, 3
24, 1, 2, 3
25, 1, 2, 3
26, 1, 2, 3
27, 1, 2, 3
28, 1, 2, 3
29, 1, 2, 3
30, 1, 2, 3
31, 1, 2, 3
32, 1, 2, 3
33, 1, 2, 3
34, 1, 2, 3
35, 1, 2, 3
36, 1, 2, 3
37, 1, 2, 3
38, 1, 2, 3
39, 1, 2, 3
40, 1, 2, 3
41, 1, 2, 3
42, 1, 2, 3
43, 1, 2, 3
44, 1, 2, 3
45, 1, 2, 3
46, 1, 2, 3
47, 1, 2, 3
48, 1, 2, 3
49, 1, 2, 3
50, 1, 2, 3
51, 1, 2, 3
52, 1, 2, 3
53, 1, 2, 3
54, 1, 2, 3
55, 1, 2, 3
56, 1, 2, 3
57, 1, 2, 3
58, 1, 2, 3
59, 1, 2, 3
60, 1, 2, 3
61, 1, 2, 3
62, 1, 2, 3
63, 1, 2, 3
64, 1, 2, 3
65, 1, 2, 3
66, 1, 2, 3
67, 1, 2, 3
68, 1, 2, 3
69, 1, 2, 3
70, 1, 2, 3
71, 1, 2, 3
72, 1, 2, 3
73, 1, 2, 3
74, 1, 2, 3
75, 1, 2, 3
76, 1, 2, 3
77, 1, 2, 3
78, 1, 2, 3
79, 1, 2, 3
80, 1, 2, 3
81, 1, 2, 3
82, 1, 2, 3
83, 1, 2, 3
84, 1, 2, 3
85, 1, 2, 3
86, 1, 2, 3
87, 1, 2, 3
88, 1, 2, 3
89, 1, 2, 3
90, 1, 2, 3
91, 1, 2, 3
92, 1, 2, 3
93, 1, 2, 3
94, 1, 2, 3
95, 1, 2, 3
96, 1, 2, 3
97, 1, 2, 3
98, 1, 2, 3
99, 1, 2, 3
100, 1, 2, 3
101, 1, 2, 3
102, 1, 2, 3
103, 1, 2, 3
104, 1, 2, 3
105, 1, 2, 3
106, 1, 2, 3
107, 1, 2, 3
108, 1, 2, 3
109, 1, 2, 3
110, 1, 2, 3
111, 1, 2, 3
112, 1, 2, 3
113, 1, 2, 3
114, 1, 2, 3
115, 1, 2, 3
116, 1, 2, 3
117, 1, 2, 3
118, 1, 2, 3
119, 1, 2, 3
120, 1, 2, 3
121, 1, 2, 3
122, 1, 2, 3
123, 1, 2, 3
124, 1, 2, 3
125, 1, 2, 3
126, 1, 2, 3
127, 1, 2, 3
128, 1, 2, 3
129, 1, 2, 3
130, 1, 2, 3
131, 1, 2, 3
132, 1, 2, 3
133, 1, 2, 3
134, 1, 2, 3
135, 1, 2, 3
136, 1, 2, 3
137, 1, 2, 3
138, 1, 2, 3
139, 1, 2, 3
140, 1, 2, 3
141, 1, 2, 3
142, 1, 2, 3
143, 1, 2, 3
144, 1, 2, 3
145, 1, 2, 3
146, 1, 2, 3
147, 1, 2, 3
148, 1, 2, 3
149, 1, 2, 3
150, 1, 2, 3
151, 1, 2, 3
152, 1, 2, 3
153, 1, 2, 3
154, 1, 2, 3
155, 1, 2, 3
156, 1, 2, 3
157, 1, 2, 3
158, 1, 2, 3
159, 1, 2, 3
160, 1, 2, 3
161, 1, 2, 3
162, 1, 2, 3
163, 1, 2, 3
164, 1, 2, 3
165, 1, 2, 3
166, 1, 2, 3
167, 1, 2, 3
168, 1, 2, 3
169, 1, 2, 3
170, 1, 2, 3
171, 1, 2, 3
172, 1, 2, 3
173, 1, 2, 3
174, 1, 2, 3
175, 1, 2, 3
176, 1, 2, 3
177, 1, 2, 3
178, 1, 2, 3
179, 1, 2, 3
180, 1, 2, 3
181, 1, 2, 3
182, 1, 2, 3
183, 1, 2, 3
184, 1, 2, 3
185, 1, 2, 3
186, 1, 2, 3
187, 1, 2, 3
188, 1, 2, 3
189, 1, 2, 3
190, 1, 2, 3
191, 1, 2, 3
192, 1, 2, 3
193, 1, 2, 3
194, 1, 2, 3
195, 1, 2, 3
196, 1, 2, 3
197, 1, 2, 3
198, 1, 2, 3
199, 1, 2, 3
200, 1, 2, 3
201, 1, 2, 3
202, 1, 2, 3
203, 1, 2, 3
204, 1, 2, 3
205, 1, 2, 3
